Product name,Reference,Category,SKU,Price CZK,Price EUR,Imp. Cost EUR,Imp. Cost CZK,Weight (g),Imported (pcs),Stock (pcs),Total orders
Chà chân xanh 400c,2503 Chà chân xanh 400c,Tools & Accessories,A0000912,1000,40,11.44,285.35,100,80,-4,0
Buffer cam 3 mặt,2503 Buffer cam 3 mặt,Tools & Accessories,A0000913,12,0.5,0.52,12.85,100,10000,-50,0
Buffer trắng 4 mặt,2503 Buffer trắng 4 mặt,Pedicure,A0000914,12,0.5,0.53,Loading...,100,10000,-20,0
Tay bào máy tím,2508 Tay bào máy tím,Đồ điện,A0001065,4900,200,59.50,"1,453.76",100,30,-1,0
Tay bào máy G5,2507 Tay bào G5,Đồ điện,A0001058,5400,220,70.82,"1,738.11",100,20,-1,0
Đèn LED 96W,2507 Đèn LED 96W H45,Đồ điện,A0001045,1400,55,#N/A,505.19,100,200,-8,0
Đèn LED 48W,2503 Đèn LED 48W,Đồ điện,A0000918,750,35,10.15,252.99,100,100,-4,0
Tip làm chân set,2503 Tip làm chân set,Pedicure,A0000919,150,6,1.41,35.27,100,200,-1,0
Chai sơn trống 15ml,2503 Chai sơn không chổi tốt 15ml,Tools & Accessories,A0000920,50,2,0.92,23.02,100,1000,-3,0
Túi ni lông xanh 800c,2511 Túi ni lông xanh,Tools & Accessories,A0001161,1750,70,36.22,874.57,100,60,-1,0
5in1 Pedicure kit - 200c,2507 5in1 pedicure kit - tím,Tools & Accessories,A0001055,1450,60,27.22,668.18,100,120,-10,0
Thùng Dũa mini 5000c,2503 Thùng Dũa mini 5000c,Pedicure,A0000923,3000,120,58.81,Loading...,100,20,-1,0
Thùng Slim buffer 500c,2503 Thùng Slim buffer 500c,Pedicure,A0000924,1250,50,5.51,Loading...,100,20,-1,0
Thùng que tăm 800c,2503 Thùng que tăm 800c,Pedicure,A0000925,500,20,Loading...,130.49,100,20,-1,0
Đèn cầu vòng đính đá v2,2503 Đèn cầu vòng đính đá v2,Đồ điện,A0000926,1975,79,30.54,761.47,100,20,-2,0
Đèn cầu vòng trắng v2,2503 Đèn cầu vòng trắng v2,Đồ điện,A0000927,1975,79,28.22,Loading...,100,20,-1,0
4XC - Titan Xanh,2503 4XC Titan xanh,Đầu bào,A0000928,375,15,5.24,130.73,100,200,-2,0
2XC Titan xanh,2503 2XC Titan xanh,Đầu bào,A0000929,375,15,5.24,130.73,100,100,-1,0
Lọ không 500ml,2511 Lọ nhựa không 500ml,Tools & Accessories,A0001168,50,2,0.29,6.93,100,200,-10,0
Cán dao cạo chân Inox,2507 Cán dao cạo chân Inox,Pedicure,A0001049,125,5,#N/A,24.54,100,400,-2,0
Dao lam Micra,2511 Dao lam 100c,Pedicure,A0001176,150,6,1.76,42.66,100,1000,-2,0
Dũa 80/80 Luxfile,2511 Dũa Luxfile 80/80,Dũa,A0001159,750,30,14.33,345.96,100,100,-1,0
Dũa 100/100 Luxfile,2511 Dũa Luxfile 100/100,Dũa,A0001160,750,30,14.33,345.96,100,100,-20,0
Máy sấy khô,2504 Máy sấy khô,Đồ điện,A0000935,2000,80,23.92,601.43,100,36,-1,0
Tip fan 120 màu - tip nhọn trong,2504 Cây mẫu xoay 120 màu - tip nhọn trong,Tools & Accessories,A0000936,150,6,1.34,33.79,100,31,-10,0
Tip fan 120 màu - tip nhọn đục,2504 Cây mẫu xoay 120 màu - tip nhọn đục,Tools & Accessories,A0000937,150,6,1.34,33.79,100,31,-3,0
Tip fan 120 màu - tip natur trong,2504 Cây mẫu xoay 120 màu - tip natur trong,Tools & Accessories,A0000938,150,6,1.34,Loading...,100,31,-2,0
Tip fan 120 màu - tip natur đục,2504 Cây mẫu xoay 120 màu - tip natur đục,Tools & Accessories,A0000939,150,6,1.34,Loading...,100,31,-1,0
Barbicide Concentrate 500ml,2504 Barbicide 500ml,Hoá chất,A0000940,300,12,Loading...,137.18,100,48,-1,0
liner gel vẽ 12ml - trắng,2508 Liner gel trắng,Hoá chất,A0001066,150,6,1.26,30.68,100,240,-12,0
liner gel vẽ 12ml - đen,2505 Liner gel vẽ - đen,Hoá chất,A0000942,150,6,1.08,26.96,100,60,-2,0
4XC - Hoa cúc 2.0,2505 4XC Hoa Cúc 2.0,Đầu bào,A0000943,180,8,3.73,92.98,100,200,-1,0
Liner gel vẽ metallic - vàng 15ml,2505 Liner gel vẽ Metallic - vàng 15ml,Design,A0000944,200,8,Loading...,59.31,100,24,-2,0
Liner gel vẽ metallic - bạc 15ml,2505 Liner gel vẽ Metallic - bạc 15ml,Design,A0000945,200,8,Loading...,59.31,100,60,-2,0
1KG top coat tím đặc,2505 1KG Top coat tím đặc,Top Coat,A0000947,4000,150,39.28,979.93,100,30,-1,0
4XC,2505 4XC,Đầu bào,A0000948,200,8,2.52,62.92,100,200,-1,0
Trục nhám sắt v2,2505 Trục nhám sắt,Đầu bào,A0000949,180,8,1.41,35.21,100,100,-2,0
Trục nhám chắc chắn v2,2505 Trục nhám chắc chắn,Đầu bào,A0000950,180,8,2.24,55.82,100,200,-1,0
Liquid J-2000 C7,2510 Liquid J2000 C7,Hoá chất,A0001122,1100,50,#N/A,753.21,100,72,-4,0
Bột - Ombre Pink I,2510 Bột - Ombre Pink I,Bột,A0001135,840,35,#N/A,608.79,100,102,-1,0
Liquid EMA J-2 C7,2505 Liquid EMA J2 C7,Hoá chất,A0000955,2000,90,46.17,"1,151.83",100,50,-1,0
4XC - Đầu tròn - Titan xanh,2505 4XC Đầu tròn Titan xanh,Đầu bào,A0000958,375,15,Loading...,130.41,100,300,-4,0
Motor tay máy tím,2505 Motor máy UP200,Đồ điện,A0000960,1250,50,Loading...,214.83,100,40,-2,0
Super White 250ml,2505 Super white 250ml,Hoá chất,A0000962,1500,60,41.77,"1,043.49",100,50,-1,0
Super Black 250ml,2505 Super black 250ml,Hoá chất,A0000963,1500,60,41.77,"1,043.49",100,30,-1,0
Sugar Scrub - Orange 5kg,2505 Orange Sugar Scrub 5KG,Pedicure,A0000965,1125,45,25.90,646.95,100,36,-1,0
Gel Scrub - Mint 5KG,2505 Mint Gel Scrub 5KG,Hoá chất,A0000966,875,35,19.60,Loading...,100,36,-1,0
Diamond Top Coat 1L,2510 Diamond Top Coat 1L,Top Coat,A0001155,3800,150,#N/A,"1,071.20",100,50,-1,0
Cốc đựng bột tròn,2505 Cốc đựng bột tròn,Tools & Accessories,A0000974,100,4,1.50,37.49,100,300,-10,0
Hũ đựng gel 50ml,2505 Hũ đựng gel 50ml,Tools & Accessories,A0000975,87,3.5,Loading...,29.87,100,200,-2,0
Hũ đựng gel 30ml,2505 Hũ đựng gel 30ml,Tools & Accessories,A0000976,87,3.5,0.67,16.78,100,100,-3,0
Chà chân vàng 400c,2505 Chà chân vàng 400c,Tools & Accessories,A0000979,1000,40,14.55,Loading...,100,240,-2,0
Đèn sạc pin 90W,2505 Đèn sạc pin 90W trắng,Đồ điện,A0000981,1500,60,Loading...,472.59,100,200,-1,0
Sửa chữa tay bào,Dịch vụ sửa tay bào,Dịch vụ,DICH-VU,375,15,0.00,0.00,100,,-1,0
4XC Đầu tròn v3,2505 4XC Đầu tròn v3,Đầu bào,A0000951,180,8,2.79,69.57,100,200,-2,0
M vàng - to,2505 M - to vàng,Đầu bào,A0000952,180,8,Loading...,69.57,100,200,-3,0
Set Bột Neon dặm 24 màu,2505 Set Bột Neon 24 màu,Design,A0000956,300,12,2.79,69.61,100,100,-1,0
Set Bút Xốp dặm,2505 Set Bút Bông dặm,Design,A0000957,250,10,Loading...,15.36,100,100,-1,0
Thân máy Trắng Marathon,2505 Thân máy trắng Marathon,Đồ điện,A0000959,1500,60,24.61,613.81,100,60,-2,0
Dây cắm 3 chân UP200,2505 Dây cắm 3 chân UP200,Đồ điện,A0000961,150,6,2.34,58.31,100,40,-2,0
Set Sơn mắt mèo 10D 12 màu,2505 Set 12 màu Sơn mắt mèo 10D,Sơn màu,A0000964,1500,60,16.53,413.03,100,30,-1,0
Gel nặn 3D - Clear 50ml,2505 Gel nặn - Clear 50ml,Design,A0000973,250,10,1.92,47.93,100,100,-1,0
Kê chân cao - đen vàng,2505 Kê tay cao - đen,Tools & Accessories,A0000977,300,12,6.73,168.00,100,30,-1,0
Kê chân cao - trắng vàng,2505 Kê tay cao - trắng,Tools & Accessories,A0000978,300,12,Loading...,168.00,100,30,-1,0
Chổi quét bàn - Nhỏ,2505 Chổi quét bàn - Nhỏ,Tools & Accessories,A0000980,150,6,1.53,Loading...,100,1000,-4,0
Muối viên xô 4000 viên,2505 Muối viên xô 4000 viên,Pedicure,A0000983,4000,160,65.78,"1,639.06",100,20,-1,0
Moonlight Cat Eye 12 màu,2505 Moonlight Cat Eye 12 màu,Sơn màu,A0000984,1500,60,28.37,706.94,100,60,-2,0
Gel thinner 30ml,2505 Gel thinner 30ml,Hoá chất,A0000985,300,12,2.69,67.15,100,100,-1,0
Diamond Top Coat 15ml,2505 Diamond Top Coat 15ml,Top Coat,A0000986,200,8,1.85,46.13,100,60,-5,0
Gel nặn 3D - trắng 15ml,2505 Gel nặn - trắng 15ml,Hoá chất,A0000988,250,10,Loading...,49.32,100,100,-1,0
Sơn màu Milky White 250ml,2509 Sơn Milky white 250ml,Sơn màu,A0001094,1500,60,12.63,307.09,100,60,-1,0
Liquid EMA G3 C1 Blue,2506 Liquid G-3M C1 Blue,Hoá chất,A0001003,1625,65,45.23,"1,118.35",100,25,-2,0
Xô Gel Scrub Orange - 20KG,2506 Xô Gel Scrub Orange - 20KG,Pedicure,A0001008,2750,110,67.29,"1,663.86",100,20,-1,0
Vỏ nhám Mỹ ⌗150 (1000c),2506 Vỏ nhám MILKEN ⌗150 1000c,Tools & Accessories,A0001010,1250,50,27.89,692.10,100,100,-1,0
Set 5c Bút Nặn Silicon,2506 Set 5c Bút Nặn Silicon,Bút,A0001014,200,8,0.58,14.47,100,100,-1,0
Dũa mỏng - To Vuông 80/80,2506 Dũa mỏng to vuông 80/80,Dũa,A0001019,500,20,5.06,125.76,100,200,-1,0
Dũa mỏng - To Vuông 100/100,2506 Dũa mỏng to vuông 100/100,Dũa,A0001020,500,20,5.06,125.76,100,200,-20,0
Tip Thẳng Natur Nhọn - Lẻ,2506 Tip Thẳng Natur Nhọn,Tips,A0001023,18,0.7,0.18,4.51,100,2200,-8,0
Bình ngâm khử trùng dụng cụ,2507 Bình ngâm khử trùng dụng cụ,Pedicure,A0001024,250,10,2.27,55.97,100,20,-1,0
Bút cán gỗ sz14,2507 Bút cán gỗ sz14,Bút,A0001025,1100,43,15.74,388.19,100,200,-1,0
BL1 - Nhũ Đường Đen ánh trắng,2507 BL1 - Nhũ Đường Đen ánh trắng,Design,A0001029,250,10,1.56,38.53,100,60,-1,0
BL2 - Nhũ Đường Đen 7 màu,2507 BL2 - Nhũ Đường Đen 7 màu,Design,A0001030,250,10,1.25,30.80,100,60,-1,0
Liquid EMA Ít mùi,2507 Liquid EMA ít mùi,Hoá chất,A0001037,2150,85,76.61,"1,600.65",100,120,-1,0
Bịch Dũa mini 50c - Lẻ,Bịch Dũa mini 50c - Lẻ,Pedicure,B0000001,100,4,0.54,13.26,100,2000,-10,0
Xốp kẹp chân 100c - Lẻ,Xốp kẹp chân 100c - Lẻ,Pedicure,B0000002,100,4,1.00,24.65,100,400,-1,0
Hộp túi y tế 100c - Lẻ,Hộp túi y tế 100c - Lẻ,Pedicure,B0000003,100,4,0.83,20.47,100,1000,-6,0
Muối viên - Lọ Nhỏ 250c,2507 Muối viên - Lọ Nhỏ 250c,Pedicure,A0001044,250,10,#N/A,100.66,100,50,-2,0
Chai Bơm Cồn 200ml,2507 Chai Bơm Cồn 200ml,Tools & Accessories,A0001048,150,6,#N/A,19.08,100,100,-1,0
Cán dao cạo chân P05,2507 Cán dao cạo chân P05,Pedicure,A0001051,120,5,#N/A,18.04,100,50,-1,0
Kệ Acrylic đựng bút,2507 Kệ Acrylic đựng bút,Tools & Accessories,A0001052,250,10,4.01,98.87,100,40,-1,0
Bịch que tăm 100c - Lẻ,Bịch que tăm 100c - Lẻ,Tools & Accessories,B0000004,75,3,0.60,14.75,100,3,-1,0
Marble Ink Set 12 màu,2507 Marble Ink Set 12 màu,Design,A0001059,1500,60,18.74,459.93,100,60,-1,0
Gel 6in1,2507 Gel 6in1,Top Coat,A0001060,200,8,2.34,57.49,100,100,-1,0
Máy bào di động 45K,2508 Máy bào di động 45K,Đồ điện,A0001063,3000,120,58.37,"1,426.06",100,10,-1,0
Gel vẽ Đen Hũ 50ml,2508 Gel vẽ đen 50ml,Hoá chất,A0001068,250,10,3.15,76.84,100,60,-1,0
5in1 pedicure kit cam,2508 5in1 pedicure kit cam,Pedicure,A0001070,1500,60,33.79,825.47,100,120,-4,0
Lẻ - Jelly Spa 1 túi,2508 Lẻ - Jelly Spa 1 túi,Pedicure,A0001071,50,2,1.15,28.05,100,2400,-1,0
Kê tay cao - màu đen - chân bạc,2508 Kê tay cao - màu đen - chân bạc,Tools & Accessories,A0001074,300,12,4.77,116.45,100,30,-1,0
Kê tay cao - màu trắng - chân bạc,2508 Kê tay cao - màu trắng - chân bạc,Tools & Accessories,A0001075,300,12,4.77,116.45,100,30,-1,0
Đèn LED làm chân,2508 Đèn LED làm chân,Đồ điện,A0001076,2100,85,38.26,934.64,100,100,-1,0
Máy Khử trùng nhiệt độ,2508 Máy Khử trùng,Đồ điện,A0001077,2250,90,14.96,365.46,100,30,-1,0
Mịn thông XF,2508 Mịn thông XF,Đầu bào,A0001080,250,10,5.41,132.05,100,100,-4,0
Kìm Bấm Móng - Đầu Thẳng,2508 Kìm Bấm Móng - Đầu Thẳng,Tools & Accessories,A0001081,150,6,2.07,50.66,100,100,-1,0
Imperial Top Coat - 15ml - thin,2509 Imperial Top Coat - Thin 15ml,Top Coat,A0001109,200,8,1.55,37.73,100,60,-2,0
Imperial Top Coat - 15ml - thick,2508 Imperial Top Coat v0 - 15ml - thick,Top Coat,A0001083,200,8,1.77,43.22,100,60,-2,0
Imperial Top Coat - 500ml - thin,2510 Imperial top coat - thin - 500ml,Top Coat,A0001153,2000,80,#N/A,515.34,100,30,-1,0
Imperial Top Coat - 1000ml - thin,2510 Imperial top coat - thin - 1L,Top Coat,A0001154,3800,150,#N/A,"1,030.68",100,30,-1,0
Imperial Top Coat - 500ml - thick,2510 Imperial top coat - thick - 500ml,Top Coat,A0001150,2000,80,#N/A,530.90,100,30,-1,0
Imperial Top Coat - 1000ml - thick,2510 Imperial top coat - thick - 1L,Top Coat,A0001151,3800,150,#N/A,"1,061.83",100,30,-2,0
Glaze Gel Polish Set 12 màu,2509 Glaze Gel Polish Set 12 màu,Sơn màu,A0001089,1500,60,26.52,644.59,100,60,-1,0
BIAB 15ml,2509 Gel đắp trong chai sơn,Gel đắp,A0001090,200,8,1.76,42.69,100,600,-10,0
Cuticle Oil nắp nhọn 15ml,2509 Cuticle Oil 15ml,Hoá chất,A0001116,100,4,0.83,20.13,100,600,-5,0
Liquid Professional,2509 Liquid Professional,Hoá chất,A0001117,1750,70,50.94,"1,233.86",100,52,-1,0
Liquid Winter,2511 Winter Liquid Monomer 2.5L,Hoá chất,A0001214,1375,55,40.00,967.42,100,312,-5,0
Cốc liquid mini,2510 Cốc liquid mini,Tools & Accessories,A0001137,75,3,#N/A,27.32,100,50,-1,0
Dép làm chân 24c,2510 Dép làm chân 24c,Pedicure,A0001138,100,4,#N/A,20.07,100,416,-1,0
Kem đẩy da 3.8L,2510 Cuticle Softener 3.8L,Pedicure,A0001140,875,35,#N/A,279.82,100,40,-1,0
Kem đẩy da 1L,2510 Cuticle Softener 1L,Pedicure,A0001141,300,12,#N/A,110.33,100,48,-1,0
Hộp Pedicure Bath Bombs 60c,2510 Bath Bombs 60c,Pedicure,A0001142,875,35,#N/A,336.89,100,64,-1,0
Imperial Top Coat - 250ml - thick,2510 Imperial top coat - thick - 250ml,Top Coat,A0001149,1250,50,#N/A,297.30,100,60,-1,0
Imperial Top Coat - 250ml - thin,2510 Imperial top coat - thin - 250ml,Top Coat,A0001152,1250,50,#N/A,297.30,100,60,-1,0
Dũa Luxfile 60/60,2511 Dũa Luxfile 60/60,Dũa,A0001158,700,25,14.33,345.96,100,100,-1,0
Túi ni lông trong,2511 Túi ni lông trong,Pedicure,A0001162,1750,70,36.22,874.57,100,60,-1,0
Đèn nối mi,2511 Đèn nối mi,Đồ điện,A0001165,4000,160,83.10,"2,006.52",100,30,-1,0
Đèn bàn LED siêu sáng,2511 Đèn bàn LED siêu sáng,Đồ điện,A0001166,1500,60,27.22,657.31,100,24,-1,0
Típ làm mẫu quyển màu nhọn,2511 Típ làm mẫu quyển màu nhọn,Tips,A0001167,75,3,0.86,20.76,100,400,-1,0
Thùng Chà chân tím 400c,2511 Chà chân tím,Pedicure,A0001169,975,39,16.91,408.22,100,240,-1,0
Kìm bấm móng L 777 Korea,2511 Kìm bấm móng 777 Korea,Tools & Accessories,A0001170,150,6,2.90,70.19,100,200,-1,0
Tip trong thẳng clear,2511 Tip trong thẳng clear,Tips,A0001171,20,0.8,0.32,7.80,100,1000,-1,0
Tip thẳng vuông đục,2511 Tip thẳng vuông đục,Tips,A0001172,20,0.8,0.32,7.80,100,1000,-1,0
Tip trong nhọn,2511 Tip trong nhọn,Tips,A0001173,20,0.8,0.28,6.75,100,1000,-1,0
Kìm tháo đá,2511 Kìm tháo đá,Tools & Accessories,A0001174,150,6,1.09,26.27,100,200,-1,0
Bút chấm bi vôi 2 đầu,2511 Bút chấm bi vôi 2 đầu,Bút,A0001175,125,5,2.63,63.66,100,100,-1,0
Bào Mịn 3in1 dài - F,2511 Bào Mịn 3in1 dài - F,Đầu bào,A0001177,200,8,3.64,87.96,100,100,-1,0
Bào Mịn 5in1 XXL - F,2511 Bào Mịn 5in1 XXL - F,Đầu bào,A0001178,250,10,5.03,121.56,100,50,-1,0
Bào Mịn Diamond - Đẩy Khoé,2511 Bào Mịn Diamond - Đẩy Khoé,Đầu bào,A0001179,100,4,0.68,16.55,100,50,-1,0
Đèn Hybrid SORAH,2511 Đèn Hybrid SORAH,Đồ điện,A0001183,1625,65,33.42,808.31,100,104,-1,0
Hộp trong đựng nhũ,2511 Hộp trong đựng nhũ,Tools & Accessories,A0001184,50,2,0.13,3.05,100,780,-1,0
Gel đắp - 500ml - Clear,2511 Gel đắp - 500ml - Clear,Gel đắp,A0001192,1250,50,21.14,511.41,100,10,-1,0
Gel đắp - 500ml - Natural Pink,2511 Gel đắp - 500ml - Natural Pink,Gel đắp,A0001193,1250,50,21.14,511.41,100,10,-1,0
Gel đắp - 500ml - Milky Pink,2511 Gel đắp - 500ml - Milky Pink,Gel đắp,A0001194,1250,50,21.14,511.41,100,10,-1,0
Gel đắp - 500ml - Milky White,2511 Gel đắp - 500ml - Milky White,Gel đắp,A0001195,1250,50,21.14,511.41,100,10,-1,0
Gel đắp - 500ml - Makeup 1,2511 Gel đắp - 500ml - Makeup 1,Gel đắp,A0001196,1250,50,21.14,511.41,100,10,-1,0
Gel đắp - 500ml - Makeup 2,2511 Gel đắp - 500ml - Makeup 2,Gel đắp,A0001197,1250,50,21.14,511.41,100,10,-1,0
Gel đắp - 500ml - Makeup 3,2511 Gel đắp - 500ml - Makeup 3,Gel đắp,A0001198,1250,50,21.14,511.41,100,10,-1,0
Gel đắp - 50ml - Clear,2511 Gel đắp - 50ml - Clear,Gel đắp,A0001199,350,14,5.08,122.87,100,60,-5,0
Gel đắp - 50ml - Natural Pink,2511 Gel đắp - 50ml - Natural Pink,Gel đắp,A0001200,350,14,5.08,122.87,100,60,-1,0
Gel đắp - 50ml - Milky Pink,2511 Gel đắp - 50ml - Milky Pink,Gel đắp,A0001201,350,14,5.08,122.87,100,60,-4,0
Gel đắp - 50ml - Milky White,2511 Gel đắp - 50ml - Milky White,Gel đắp,A0001202,350,14,5.08,122.87,100,60,-1,0
Gel đắp - 50ml - Makeup ⌗1,2511 Gel đắp - 50ml - Makeup 1,Gel đắp,A0001203,350,14,5.08,122.87,100,60,-1,0
Gel đắp - 50ml - Makeup ⌗2,2511 Gel đắp - 50ml - Makeup 2,Gel đắp,A0001204,350,14,5.08,122.87,100,60,-1,0
Gel đắp - 50ml - Makeup ⌗3,2511 Gel đắp - 50ml - Makeup 3,Gel đắp,A0001205,350,14,5.08,122.87,100,60,-1,0
CND Shellac Base Coat,2511 CND Shellac Base Coat,Top Coat,A0001212,500,20,14.48,350.26,100,100,-1,0
Cồn xanh 80 độ 5L,2511 Cồn xanh 80 độ 5L,Hoá chất,A0001213,550,22,21.03,508.68,100,100,-1,0
Thùng 5in1 pedi kit tím (200c),2511 5in1 pedi kit tím,Pedicure,A0001217,1500,60,24.76,598.95,100,120,-1,0
Oil vị dứa 500ml,2511 Oil vị dứa 500ml,Hoá chất,A0001220,250,10,5.36,129.41,100,120,-1,0
Hộp Cuticle oil 48c,2511 Hộp Cuticle oil 48c,Noel,A0001224,875,35,25.02,603.91,100,216,-2,0
Cuticle oil Noel,2511 Cuticle oil Noel,Noel,A0001225,20,0.76,0.30,7.19,100,12000,-200,0
Kem Hộp Đỏ 50ml,2511 Kem Hộp Đỏ 50ml,Noel,A0001226,50,2,1.13,27.32,100,5000,-100,0
Hộp kem mango vera 72c,2511 Hộp kem mango vera 72c,Noel,A0001227,975,39,14.59,352.29,100,180,-3,0
Dầu Massage - Aloe Vera 3.8L,2512 Dầu Massage - Aloe Vera 3.8L,Pedicure,A0001229,875,35,#N/A,284.73,100,60,-1,0
Bột Ombre Nude I,2512 Bột Ombre Nude I,Bột,A0001232,840,35,#N/A,425.91,100,85,-1,0
Bột - Ombre Pink II,2512 Bột - Ombre Pink II,Bột,A0001238,840,35,#N/A,444.94,100,153,-1,0